"Name","OriginalBytes","OptimizedBytes","DeltaBytes","SavingsPercent","OptimizeExit","ValidateExit"
"AMDtable.glb","9268","8356","-912","9.84","0","0"
"Case(Base).glb","2453320","3788588","1335268","-54.43","0","0"
"CpuAMD(Base).glb","7013964","7964456","950492","-13.55","0","0"
"CpuINTEL(Base).glb","6522804","675260","-5847544","89.65","0","0"
"Gpu(Base).glb","5837644","885424","-4952220","84.83","0","0"
"Hdd(Base).glb","559176","777960","218784","-39.13","0","0"
"INTELtable.glb","9340","8360","-980","10.49","0","0"
"MotherboardAMD(Base).glb","6589204","2513452","-4075752","61.85","0","0"
"MotherboardINTEL(Base).glb","11810660","2655812","-9154848","77.51","0","0"
"NEWcaseAMD.glb","2452836","3785672","1332836","-54.34","0","0"
"NEWcaseINTEL.glb","2451468","3784008","1332540","-54.36","0","0"
"NEWcpuAMD.glb","7012960","7962284","949324","-13.54","0","0"
"NEWcpuINTEL.glb","6522872","675244","-5847628","89.65","0","0"
"NEWgpuAMD.glb","5837716","885424","-4952292","84.83","0","0"
"NEWgpuINTEL.glb","8803676","1184620","-7619056","86.54","0","0"
"NEWhddAMD.glb","558852","778516","219664","-39.31","0","0"
"NEWhddINTEL.glb","558940","778800","219860","-39.34","0","0"
"NEWmotherboardAMD.glb","6584828","2511540","-4073288","61.86","0","0"
"NEWmotherboardINTEL.glb","11822536","2655288","-9167248","77.54","0","0"
"NEWpsuAMD.glb","109988","87324","-22664","20.61","0","0"
"NEWpsuINTEL.glb","111404","87476","-23928","21.48","0","0"
"NEWram2AMD.glb","3705880","379660","-3326220","89.76","0","0"
"NEWram2INTEL.glb","2883404","179720","-2703684","93.77","0","0"
"NEWramAMD.glb","3705808","379664","-3326144","89.75","0","0"
"NEWramINTEL.glb","2883416","179732","-2703684","93.77","0","0"
"NEWssdAMD.glb","1105828","366500","-739328","66.86","0","0"
"NEWssdINTEL.glb","2187996","164608","-2023388","92.48","0","0"
"pc.glb","23029848","3020956","-20008892","86.88","0","0"
"Psu(Base).glb","109972","87432","-22540","20.5","0","0"
"Ram(Base).glb","3705764","379664","-3326100","89.75","0","0"
"Ssd(Base).glb","1105756","366516","-739240","66.85","0","0"
